datasetID,forestRemnantID,decimalLatitude,decimalLongitude,forestRemnantAreaInHectares,distanceFromMainlandInMeters,richnessAll,richnessForest
Luypaert2022,Xibe,-1.46895,-59.8362,0.91,874.46,4,2
Luypaert2022,2_258,-1.85392,-59.38668,0.72,1483.1,7,4
Luypaert2022,2_333,-1.83704,-59.46564,0.63,5294.25,4,2
Luypaert2022,Joaninha,-1.52243,-59.82888,0.63,6109.33,3,1
Luypaert2022,2_771,-1.82046,-59.44777,0.45,6601.33,7,2
Luypaert2022,Abandonada_right,-1.39513,-59.77795,0.45,3949.8,5,3
Moore2008,Barro Colorado,9.15757,-79.84824,1560,231,102,88
Moore2008,Juan Gallegos,9.223103,-79.860019,779,617,90,71
Moore2008,Barbacoa,9.125623,-79.793957,166,18,89,79
Moore2008,Frijoles,9.17433,-79.80078,102,24,102,80
Moore2008,Puma,9.23564,-79.902939,83,1992,31,22
Moore2008,Leon,9.226656,-79.893162,55,1604,25,19
Moore2008,Bruja Grande,9.217505,-79.91321,41,2504,29,22
Moore2008,Tigre,9.231025,-79.910776,38,1992,27,19
Moore2008,Trinidad,9.198269,-79.930683,23,1956,13,8
Moore2008,Guacha,9.177849,-79.938919,20,1523,17,11
Moore2008,Orchid,9.17866,-79.84892,19,44,52,44
Moore2008,Pantera,9.236681,-79.91063,18,1992,25,17
Moore2008,Bruja Chiquita,9.20977,-79.914161,17,2504,22,15
Moore2008,Abogado,9.198877,-79.859765,15,184,39,33
Moore2008,Cacao,9.219918,-79.843877,14.8,136,32,26
Moore2008,Pato Horqueta,9.207752,-79.9072,13.2,2504,20,14
Moore2008,Lirio,9.244716,-79.838342,11.5,995,9,9
Moore2008,Panteon,9.213974,-79.915158,9.9,2504,22,16
Moore2008,Tres Almendras Grande,9.204796,-79.847512,9.3,15,44,38
Moore2008,Guanabano,9.211611,-79.891867,8.9,2211,17,11
Moore2008,Steep,9.187078,-79.837583,7.6,184,17,15
Moore2008,L,9.128333,-79.841602,7.3,14,25,18
Moore2008,Mona Grita,9.13746,-79.83424,7.1,234,22,16
Moore2008,Sobre Pato Horqueta,9.210924,-79.906133,5.9,2504,14,10
Moore2008,Bajo,9.184733,-79.830086,5,9,30,24
Moore2008,Abogado Oeste,9.195375,-79.862627,4.3,184,16,10
Moore2008,Tres Almendras Oeste,9.205213,-79.850886,4.1,15,30,25
Moore2008,Range,9.186792,-79.842022,3.8,51,26,21
Moore2008,Triangle,9.181613,-79.833486,1.6,44,16,12
Nasruddin-Roshidi2021,Is4,5.173174,102.564247,23.766,727.23,63,54
Nasruddin-Roshidi2021,Is6,5.146932,102.558462,7.906,274.27,39,31
Nasruddin-Roshidi2021,Is1,5.182293,102.565679,4.502,42.93,43,37
Nasruddin-Roshidi2021,Is3,5.183656,102.554095,3.827,213.09,21,17
Nasruddin-Roshidi2021,Is2,5.176972,102.553379,3.123,275.05,32,26
Nasruddin-Roshidi2021,Is5,5.152579,102.557292,3.007,160.33,38,29
Nasruddin-Roshidi2021,Is7,5.142109,102.560224,1.602,256.9,23,13
Wang2012,i1,29.51983333,118.8738611,1289.23,897.41,88,45
Wang2012,i2,29.50838889,118.81925,143.19,1415.09,54,33
Wang2012,i3,29.51941667,118.9210833,109.03,964.97,55,34
Wang2012,i4,29.53097222,118.9401389,55.08,953.95,48,30
Wang2012,i5,29.49444444,118.8941944,46.37,729.8,48,31
Wang2012,i6,29.51469444,118.8493056,35.64,2110.41,45,28
Wang2012,i7,29.53522222,118.9371667,32.29,1936.95,51,29
Wang2012,i8,29.49583333,118.9117222,5.69,21.85,49,27
Wang2012,i9,29.61877778,118.9675556,3.42,583,43,23
Wang2012,i10,29.50052778,118.8858333,2.9,1785.3,32,20
Wang2012,i11,29.49858333,118.9038611,2.83,1238.14,41,24
Wang2012,i12,29.49605556,118.90625,2.29,973.85,40,22
Wang2012,i13,29.54952778,118.9104722,2.23,3261.96,35,18
Wang2012,i14,29.56758333,118.8950278,2,1042.38,35,19
Wang2012,i15,29.61252778,118.9501111,1.93,888.05,35,19
Wang2012,i16,29.50347222,118.8919722,1.74,2293.25,28,16
Wang2012,i17,29.49538889,118.9092778,1.54,711.04,35,17
Wang2012,i18,29.56688889,118.89025,1.52,849.88,35,20
Wang2012,i19,29.50780556,118.8234722,1.52,2849.99,34,19
Wang2012,i20,29.52072222,118.8274167,1.4,1760.34,38,20
Wang2012,i21,29.48216667,118.9154167,1.26,54.86,38,22
Wang2012,i22,29.49013889,118.9004167,1.2,657.72,36,21
Wang2012,i23,29.50313889,118.8903889,1.2,2128.52,33,17
Wang2012,i24,29.50533333,118.8940833,1.17,2453.37,27,12
Wang2012,i25,29.57988889,118.912,1.15,847.12,30,17
Wang2012,i26,29.57688889,118.9273611,1.03,1458.81,26,14
Wang2012,i27,29.51363889,118.8214444,1.01,2437.85,33,16
Wang2012,i28,29.52930556,118.9226667,1.01,2103.85,33,19
Wang2012,i29,29.493,118.9034444,0.97,938.85,37,23
Wang2012,i30,29.55188889,118.9072778,0.96,3133.96,26,15
Wang2012,i31,29.61422222,118.9619444,0.91,1339.71,30,15
Wang2012,i32,29.53011111,118.9216944,0.86,2321.51,33,17
Wang2012,i33,29.51516667,118.8225278,0.83,2298.5,30,15
Wang2012,i34,29.61341667,118.9535833,0.83,1098.58,26,14
Wang2012,i35,29.49297222,118.9194167,0.8,102.6,33,17
Wang2012,i36,29.52975,118.9245278,0.8,2097.52,34,18
Wang2012,i37,29.56775,118.8976667,0.73,1320.4,32,17
Wang2012,i38,29.57738889,118.9160556,0.67,1139.87,28,12
Wang2012,i39,29.57783333,118.9095,0.59,640.53,34,19
Wang2012,i40,29.49519444,118.90525,0.59,1018.42,37,20
Wang2012,i41,29.54783333,118.9118889,0.57,3712.31,31,17
Wang2012,i42,29.49377778,118.9031944,0.3,1086.03,26,13
Yong2011,Jelatang,4.985786,102.70814,184.7,2003.5,46,42
Yong2011,Jerangau,4.969603,102.624805,146.8,53.2,40,39
Yong2011,K_Laban,5.009899,102.708602,45.8,400.1,44,42
Yong2011,Yazid,4.976384,102.640016,14.9,566.2,16,16
Yong2011,Latak,4.974529,102.661194,9.9,650.6,18,16
Yong2011,Petelot,4.975073,102.719857,1.1,1625,11,9
