"datasetID","forestRemnantID","decimalLatitude","decimalLongitude","forestRemnantAreaInHectares","matrixType","timeSinceIsolationInYears","firstYearSurvey"
"Boesing2018SP","335d",-22.946451,-46.223188,32,"terrestrial",NA,2014
"Boesing2018SP","359a",-22.928004,-46.196169,14.73,"terrestrial",NA,2014
"Boesing2018SP","359b",-22.927764,-46.174233,15.68,"terrestrial",NA,2014
"Boesing2018SP","359c",-22.900814,-46.181972,21.45,"terrestrial",NA,2014
"Boesing2018SP","359d",-22.918479,-46.202058,30.53,"terrestrial",NA,2014
"Boesing2018SP","399a",-22.858825,-46.415727,233.19,"terrestrial",NA,2014
"Boesing2018SP","399b",-22.855627,-46.430277,17.01,"terrestrial",NA,2014
"Boesing2018SP","399c",-22.831698,-46.404701,142.34,"terrestrial",NA,2014
"Boesing2018SP","399d",-22.845393,-46.416643,56.83,"terrestrial",NA,2014
"Bueno2018","Ailton",-4.351666667,-49.58694444,14.74,"aquatic",22,2006
"Bueno2018","Barranco",-4.159444444,-49.56861111,16.99,"aquatic",22,2006
"Bueno2018","Bicuda",-4.158333333,-49.53361111,113.99,"aquatic",22,2006
"Bueno2018","Carrapato",-4.398888889,-49.57277778,19.17,"aquatic",22,2006
"Bueno2018","Castanha",-4.150833333,-49.55666667,4.29,"aquatic",22,2006
"Bueno2018","Caua",-4.388333333,-49.56888889,3.39,"aquatic",22,2006
"Bueno2018","Chifre",-4.287777778,-49.63444444,34.79,"aquatic",22,2006
"Bueno2018","Chuva",-4.183055556,-49.54138889,3.79,"aquatic",22,2006
"Bueno2018","Cornelio",-4.2875,-49.46805556,178.27,"aquatic",22,2006
"Bueno2018","Cornelio_Jr",-4.295,-49.48472222,36.18,"aquatic",22,2006
"Bueno2018","Divisa",-4.206111111,-49.50111111,2551.45,"aquatic",22,2006
"Bueno2018","Duca",-4.286388889,-49.50694444,11.02,"aquatic",22,2006
"Bueno2018","Eduardo",-4.308888889,-49.65472222,251.93,"aquatic",22,2006
"Bueno2018","Embauba",-4.302222222,-49.63666667,28.32,"aquatic",22,2006
"Bueno2018","Fantasia",-4.256666667,-49.50194444,26.06,"aquatic",22,2006
"Bueno2018","Fora",-4.140555556,-49.56583333,5.95,"aquatic",22,2006
"Bueno2018","Gito",-4.297777778,-49.61305556,33.19,"aquatic",22,2006
"Bueno2018","Guariba",-4.1775,-49.54444444,19.5,"aquatic",22,2006
"Bueno2018","Juarez",-4.274722222,-49.51555556,91.55,"aquatic",22,2006
"Bueno2018","Lobao",-4.306111111,-49.62722222,17.09,"aquatic",22,2006
"Bueno2018","Lucyana",-4.169166667,-49.56305556,98.23,"aquatic",22,2006
"Bueno2018","Marcelo",-4.154722222,-49.54583333,342.43,"aquatic",22,2006
"Bueno2018","Miudo",-4.420833333,-49.55444444,57.75,"aquatic",22,2006
"Bueno2018","Nivia_B3",-4.293888889,-49.62361111,18.3,"aquatic",22,2006
"Bueno2018","Nivia_B4",-4.249444444,-49.49472222,40.52,"aquatic",22,2006
"Bueno2018","Panema",-4.175833333,-49.55138889,5.4,"aquatic",22,2006
"Bueno2018","Pedral",-4.378888889,-49.59194444,1823.35,"aquatic",22,2006
"Bueno2018","Placa",-4.32,-49.63083333,22.95,"aquatic",22,2006
"Bueno2018","Prefeito",-4.330833333,-49.62638889,198.66,"aquatic",22,2006
"Bueno2018","Queimada",-4.273055556,-49.64861111,43.09,"aquatic",22,2006
"Bueno2018","Roca",-4.428055556,-49.56055556,34.35,"aquatic",22,2006
"Bueno2018","Sidnei",-4.346388889,-49.62555556,34.62,"aquatic",22,2006
"Bueno2018","Tamarindo",-4.269166667,-49.66361111,232.74,"aquatic",22,2006
"Bueno2018","Tiago_B4",-4.231111111,-49.50527778,32.53,"aquatic",22,2006
"Bueno2018","Urubu-rei",-4.268055556,-49.49027778,31.61,"aquatic",22,2006
"Bueno2018","Vandir",-4.375277778,-49.56305556,24.39,"aquatic",22,2006
"Bueno2020","Abusado",-1.76221,-59.67875,13.31,"aquatic",28,2015
"Bueno2020","Adeus",-1.87378,-59.6624,50.08,"aquatic",28,2015
"Bueno2020","Andre",-1.58461,-59.87198,2.08,"aquatic",28,2015
"Bueno2020","Arrepiado",-1.51512,-59.73919,7.43,"aquatic",28,2015
"Bueno2020","Bacaba",-1.50413,-59.82236,53.35,"aquatic",28,2015
"Bueno2020","Beco_do_Catitu",-1.73954,-59.705,638.66,"aquatic",28,2015
"Bueno2020","Cafundo",-1.50042,-59.6102,2.63,"aquatic",28,2015
"Bueno2020","Cipoal",-1.6983,-59.78477,217.63,"aquatic",28,2015
"Bueno2020","Coata",-1.48824,-59.78702,16.94,"aquatic",28,2015
"Bueno2020","Formiga",-1.83338,-59.42115,1.54,"aquatic",28,2015
"Bueno2020","Furo_de_Santa_Luzia",-1.7404,-59.44206,198.52,"aquatic",28,2015
"Bueno2020","Fuzaca",-1.49238,-59.85987,941.71,"aquatic",28,2015
"Bueno2020","Garrafa",-1.58859,-59.83555,9.42,"aquatic",28,2015
"Bueno2020","Gaviao_real",-1.59599,-59.63279,1698.84,"aquatic",28,2015
"Bueno2020","Jabuti",-1.62625,-59.75667,232.49,"aquatic",28,2015
"Bueno2020","Jiquitaia",-1.83569,-59.59568,6.79,"aquatic",28,2015
"Bueno2020","Joaninha",-1.52272,-59.82891,0.63,"aquatic",28,2015
"Bueno2020","Martelo",-1.66407,-59.71429,466.6,"aquatic",28,2015
"Bueno2020","Mascote",-1.64884,-59.83285,668.03,"aquatic",28,2015
"Bueno2020","Moita",-1.55987,-59.89247,91.3,"aquatic",28,2015
"Bueno2020","Neto",-1.84149,-59.35228,32.87,"aquatic",28,2015
"Bueno2020","Palhal",-1.79036,-59.4479,21.37,"aquatic",28,2015
"Bueno2020","Panema",-1.77448,-59.69241,3.08,"aquatic",28,2015
"Bueno2020","Pe_Torto",-1.76646,-59.36351,4.98,"aquatic",28,2015
"Bueno2020","Piquia",-1.50647,-59.78897,13.04,"aquatic",28,2015
"Bueno2020","Pontal",-1.83105,-59.68658,108.76,"aquatic",28,2015
"Bueno2020","Porto_Seguro",-1.78009,-59.51723,1350.56,"aquatic",28,2015
"Bueno2020","Relogio",-1.68189,-59.65259,70.55,"aquatic",28,2015
"Bueno2020","Sapupara",-1.69713,-59.61263,77.8,"aquatic",28,2015
"Bueno2020","Torem",-1.82947,-59.63244,3.62,"aquatic",28,2015
"Bueno2020","Tristeza",-1.76752,-59.75447,499.91,"aquatic",28,2015
"Bueno2020","Tucumari",-1.59151,-59.42986,336.02,"aquatic",28,2015
"Bueno2020","Xibe",-1.46889,-59.8363,0.91,"aquatic",28,2015
"Carrara2015","Site_1",16.077253,-90.988512,62.92,"terrestrial",40,2012
"Carrara2015","Site_10",16.250502,-90.840852,33.37,"terrestrial",40,2012
"Carrara2015","Site_11",16.296988,-90.765506,75.85,"terrestrial",40,2012
"Carrara2015","Site_12",16.086177,-90.841814,33.22,"terrestrial",40,2012
"Carrara2015","Site_13",16.101732,-90.947834,2.8,"terrestrial",40,2012
"Carrara2015","Site_14",16.080042,-90.871456,91.93,"terrestrial",40,2012
"Carrara2015","Site_15",16.076368,-90.777613,6.01,"terrestrial",40,2012
"Carrara2015","Site_16",16.138198,-90.721778,72.08,"terrestrial",40,2012
"Carrara2015","Site_17",16.086329,-90.906107,37.83,"terrestrial",40,2012
"Carrara2015","Site_2",16.078961,-91.071913,37.82,"terrestrial",40,2012
"Carrara2015","Site_3",16.086378,-91.038907,14.46,"terrestrial",40,2012
"Carrara2015","Site_4",16.097376,-91.004993,20.28,"terrestrial",40,2012
"Carrara2015","Site_5",16.084435,-90.969188,65.46,"terrestrial",40,2012
"Carrara2015","Site_6",16.152611,-90.901493,28.05,"terrestrial",40,2012
"Carrara2015","Site_7",16.159763,-90.858527,20.56,"terrestrial",40,2012
"Carrara2015","Site_8",16.179139,-90.879728,51.27,"terrestrial",40,2012
"Carrara2015","Site_9",16.213517,-90.839413,17.97,"terrestrial",40,2012
"Claessens2002","i2",4.873291,-53.069097,28,"aquatic",1,1995
"Claessens2002","i20",4.869035,-53.054537,7.5,"aquatic",1,1995
"Claessens2002","i21",4.876669,-53.067222,2.5,"aquatic",1,1995
"Claessens2002","i22",4.868205,-53.057669,0.8,"aquatic",1,1995
"Claessens2002","i23",4.865637,-53.073296,0.5,"aquatic",1,1995
"Claessens2002","i24",4.864383,-53.074123,1.9,"aquatic",1,1995
"Claessens2002","i27",4.844771,-53.080015,0.4,"aquatic",1,1995
"Claessens2002","i40",4.847176,-53.083314,0.5,"aquatic",1,1995
"Claessens2002","i44",4.857657,-53.081473,1.4,"aquatic",1,1995
"Claessens2002","i45",4.853639,-53.084423,0.9,"aquatic",1,1995
"Claessens2002","i47",4.859702,-53.075205,0.5,"aquatic",1,1995
